Model,Overall_Accuracy,Overall_Loss,Macro_Avg_Precision,Macro_Avg_Recall,Macro_Avg_F1,Weighted_Avg_Precision,Weighted_Avg_Recall,Weighted_Avg_F1,HGC_Precision,HGC_Recall,HGC_F1,HGC_Support,LGC_Precision,LGC_Recall,LGC_F1,LGC_Support,NST_Precision,NST_Recall,NST_F1,NST_Support,NTL_Precision,NTL_Recall,NTL_F1,NTL_Support,Macro_AUC,Micro_AUC,HGC_AUC,LGC_AUC,NST_AUC,NTL_AUC,HGC_Plot_AUC,LGC_Plot_AUC,NST_Plot_AUC,NTL_Plot_AUC,Micro_Avg_Plot_AUC
DeiT-Tiny,35.44973544973545,2.3427297608562245,0.33946687840290385,0.38358490566037734,0.3334965605846388,0.3808393749379835,0.3544973544973545,0.343521578141172,0.56,0.3783783783783784,0.45161290322580644,74.0,0.20833333333333334,0.09433962264150944,0.12987012987012986,53.0,0.39655172413793105,0.6216216216216216,0.4842105263157895,37.0,0.19298245614035087,0.44,0.2682926829268293,25.0,0.6326714086580242,0.6234334611759655,0.7403055229142186,0.34600443951165366,0.7716927453769559,0.6726829268292683,0.7403055229142186,0.34600443951165366,0.7716927453769559,0.6726829268292683,0.6234334611759655
DeiT-Small,32.804232804232804,2.353234545894401,0.37287381735911146,0.3702320244773075,0.30893612292286904,0.4535567373802668,0.328042328042328,0.33041518619313426,0.7941176470588235,0.36486486486486486,0.5,74.0,0.2,0.05660377358490566,0.08823529411764706,53.0,0.3269230769230769,0.4594594594594595,0.38202247191011235,37.0,0.17045454545454544,0.6,0.26548672566371684,25.0,0.6543967830537859,0.6189822979946437,0.7421856639247945,0.5270532741398446,0.7268847795163584,0.6214634146341463,0.7421856639247945,0.5270532741398446,0.7268847795163584,0.6214634146341463,0.6189822979946437
DeiT-Base,40.21164021164021,2.083170489659385,0.38887497495491885,0.4328837327893932,0.3806071757885998,0.424409439636849,0.4021164021164021,0.39104526445172455,0.5645161290322581,0.47297297297297297,0.5147058823529411,74.0,0.30434782608695654,0.1320754716981132,0.18421052631578946,53.0,0.42857142857142855,0.4864864864864865,0.45569620253164556,37.0,0.25806451612903225,0.64,0.367816091954023,25.0,0.6806156206642686,0.6521000718531582,0.7027027027027026,0.48876248612652606,0.7683143669985776,0.7626829268292683,0.7027027027027026,0.48876248612652606,0.7683143669985776,0.7626829268292683,0.6521000718531582
