Model,Overall_Accuracy,Overall_Loss,Macro_Avg_Precision,Macro_Avg_Recall,Macro_Avg_F1,Weighted_Avg_Precision,Weighted_Avg_Recall,Weighted_Avg_F1,HGC_Precision,HGC_Recall,HGC_F1,HGC_Support,LGC_Precision,LGC_Recall,LGC_F1,LGC_Support,NST_Precision,NST_Recall,NST_F1,NST_Support,NTL_Precision,NTL_Recall,NTL_F1,NTL_Support,Macro_AUC,Micro_AUC,HGC_AUC,LGC_AUC,NST_AUC,NTL_AUC,HGC_Plot_AUC,LGC_Plot_AUC,NST_Plot_AUC,NTL_Plot_AUC,Micro_Avg_Plot_AUC
RegNet-Y-400MF,50.79365079365079,1.5795770763720154,0.5095324592682263,0.5712060173380928,0.5179154288406257,0.5187390776303432,0.5079365079365079,0.4953510211915412,0.4716981132075472,0.33783783783783783,0.3937007874015748,74.0,0.5789473684210527,0.41509433962264153,0.4835164835164835,53.0,0.6470588235294118,0.8918918918918919,0.75,37.0,0.3404255319148936,0.64,0.4444444444444444,25.0,0.799478996631267,0.7775444883028657,0.6708578143360753,0.7697003329633739,0.9244310099573259,0.8329268292682928,0.6708578143360753,0.7697003329633739,0.9244310099573259,0.8329268292682928,0.7775444883028657
RegNet-Y-800MF,58.73015873015873,1.5956357490448725,0.5619951105442177,0.6084319224885263,0.5676265477119129,0.6019879512651621,0.5873015873015873,0.580598719003831,0.734375,0.6351351351351351,0.6811594202898551,74.0,0.5,0.32075471698113206,0.39080459770114945,53.0,0.6326530612244898,0.8378378378378378,0.7209302325581395,37.0,0.38095238095238093,0.64,0.47761194029850745,25.0,0.8357477428801412,0.8288308464675307,0.845475910693302,0.7848224195338512,0.9022048364153626,0.8104878048780488,0.845475910693302,0.7848224195338512,0.9022048364153626,0.8104878048780488,0.8288308464675307
RegNet-Y-1.6GF,45.5026455026455,2.088075528857569,0.5581082051670286,0.5325242223355431,0.47060783844189014,0.6142417440269914,0.455026455026455,0.47118678498787053,0.8235294117647058,0.3783783783783784,0.5185185185185185,74.0,0.3783783783783784,0.2641509433962264,0.3111111111111111,53.0,0.7777777777777778,0.5675675675675675,0.65625,37.0,0.25274725274725274,0.92,0.39655172413793105,25.0,0.7962900271745629,0.7285163722553494,0.8320799059929495,0.5682574916759157,0.8472617354196302,0.9375609756097562,0.8320799059929495,0.5682574916759157,0.8472617354196302,0.9375609756097562,0.7285163722553494
