Model,Overall_Accuracy,Overall_Loss,Macro_Avg_Precision,Macro_Avg_Recall,Macro_Avg_F1,Weighted_Avg_Precision,Weighted_Avg_Recall,Weighted_Avg_F1,HGC_Precision,HGC_Recall,HGC_F1,HGC_Support,LGC_Precision,LGC_Recall,LGC_F1,LGC_Support,NST_Precision,NST_Recall,NST_F1,NST_Support,NTL_Precision,NTL_Recall,NTL_F1,NTL_Support,Macro_AUC,Micro_AUC,HGC_AUC,LGC_AUC,NST_AUC,NTL_AUC,HGC_Plot_AUC,LGC_Plot_AUC,NST_Plot_AUC,NTL_Plot_AUC,Micro_Avg_Plot_AUC
ConvNeXt-Tiny,28.04232804232804,1.4123286116060125,0.0701058201058201,0.25,0.10950413223140495,0.07863721620335377,0.2804232804232804,0.12283003192094101,0.0,0.0,0.0,74.0,0.2804232804232804,1.0,0.4380165289256198,53.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,25.0,0.49537821074793675,0.4957354683986077,0.6169800235017626,0.25811598224195337,0.46666073968705546,0.6397560975609756,0.6169800235017626,0.25811598224195337,0.46666073968705546,0.6397560975609756,0.4957354683986077
ConvNeXt-Base,43.386243386243386,2.0226308406976163,0.5033235118734435,0.4467899031106578,0.3488801031402412,0.5847945353189312,0.43386243386243384,0.3953082897415496,0.6282051282051282,0.6621621621621622,0.6447368421052632,74.0,1.0,0.1509433962264151,0.26229508196721313,53.0,0.11764705882352941,0.05405405405405406,0.07407407407407407,37.0,0.26744186046511625,0.92,0.4144144144144144,25.0,0.7117611722795887,0.6554407771338988,0.7229142185663925,0.7552719200887903,0.615931721194879,0.7529268292682927,0.7229142185663925,0.7552719200887903,0.615931721194879,0.7529268292682927,0.6554407771338988
ConvNeXt-Small,28.04232804232804,1.408328790513296,0.0701058201058201,0.25,0.10950413223140495,0.07863721620335377,0.2804232804232804,0.12283003192094101,0.0,0.0,0.0,74.0,0.2804232804232804,1.0,0.4380165289256198,53.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,25.0,0.5992866734950778,0.5578977818836726,0.30763807285546413,0.6986681465038845,0.7398648648648649,0.6509756097560976,0.30763807285546413,0.6986681465038845,0.7398648648648649,0.6509756097560976,0.5578977818836726
