Model,Overall_Accuracy,Overall_Loss,Macro_Avg_Precision,Macro_Avg_Recall,Macro_Avg_F1,Weighted_Avg_Precision,Weighted_Avg_Recall,Weighted_Avg_F1,HGC_Precision,HGC_Recall,HGC_F1,HGC_Support,LGC_Precision,LGC_Recall,LGC_F1,LGC_Support,NST_Precision,NST_Recall,NST_F1,NST_Support,NTL_Precision,NTL_Recall,NTL_F1,NTL_Support,Macro_AUC,Micro_AUC,HGC_AUC,LGC_AUC,NST_AUC,NTL_AUC,HGC_Plot_AUC,LGC_Plot_AUC,NST_Plot_AUC,NTL_Plot_AUC,Micro_Avg_Plot_AUC
DeiT-Tiny,21.693121693121693,4.546721994561493,0.21993245308392934,0.25209841917389086,0.2191109262218161,0.23434780654048337,0.21693121693121692,0.21081322040733075,0.3170731707317073,0.17567567567567569,0.22608695652173913,74.0,0.11904761904761904,0.09433962264150944,0.10526315789473684,53.0,0.2857142857142857,0.3783783783783784,0.32558139534883723,37.0,0.15789473684210525,0.36,0.21951219512195122,25.0,0.5654155809242074,0.5466438976139152,0.5571092831962396,0.35363485016648166,0.7075035561877668,0.6434146341463414,0.5571092831962396,0.35363485016648166,0.7075035561877668,0.6434146341463414,0.5466438976139152
DeiT-Small,26.984126984126984,3.8030803544180736,0.2811542852053216,0.3077944926058134,0.2879988199957091,0.27263643698640794,0.2698412698412698,0.26401719094274345,0.2826086956521739,0.17567567567567569,0.21666666666666667,74.0,0.208955223880597,0.2641509433962264,0.23333333333333334,53.0,0.30952380952380953,0.35135135135135137,0.3291139240506329,37.0,0.3235294117647059,0.44,0.3728813559322034,25.0,0.5726997887351328,0.5645232029711748,0.5009400705052879,0.4640677025527192,0.6314011379800853,0.694390243902439,0.5009400705052879,0.4640677025527192,0.6314011379800853,0.694390243902439,0.5645232029711748
DeiT-Base,14.285714285714286,3.093096299146218,0.16993681103270145,0.17362315145334015,0.14037129336516418,0.20789416720416215,0.14285714285714285,0.14306052376344663,0.4074074074074074,0.14864864864864866,0.21782178217821782,74.0,0.044444444444444446,0.03773584905660377,0.04081632653061224,53.0,0.09090909090909091,0.10810810810810811,0.09876543209876543,37.0,0.136986301369863,0.4,0.20408163265306123,25.0,0.4993950339905876,0.4551570971324058,0.4099882491186838,0.47044950055493895,0.5844594594594594,0.5326829268292683,0.4099882491186838,0.47044950055493895,0.5844594594594594,0.5326829268292683,0.4551570971324058
