Model,Overall_Accuracy,Overall_Loss,Macro_Avg_Precision,Macro_Avg_Recall,Macro_Avg_F1,Weighted_Avg_Precision,Weighted_Avg_Recall,Weighted_Avg_F1,HGC_Precision,HGC_Recall,HGC_F1,HGC_Support,LGC_Precision,LGC_Recall,LGC_F1,LGC_Support,NST_Precision,NST_Recall,NST_F1,NST_Support,NTL_Precision,NTL_Recall,NTL_F1,NTL_Support,Macro_AUC,Micro_AUC,HGC_AUC,LGC_AUC,NST_AUC,NTL_AUC,HGC_Plot_AUC,LGC_Plot_AUC,NST_Plot_AUC,NTL_Plot_AUC,Micro_Avg_Plot_AUC
ConvNeXt-Tiny_with_ImagingType,13.756613756613756,1.507188674634096,0.043333333333333335,0.12264150943396226,0.06403940886699508,0.048606701940035274,0.13756613756613756,0.07183256444340189,0.0,0.0,0.0,74.0,0.17333333333333334,0.49056603773584906,0.2561576354679803,53.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,25.0,0.681089201003665,0.4940744473372339,0.7746180963572267,0.4395810210876803,0.8991820768136558,0.6109756097560975,0.7746180963572267,0.4395810210876803,0.8991820768136558,0.6109756097560975,0.4940744473372339
ConvNeXt-Base_with_ImagingType,41.7989417989418,1.9079895637653492,0.38995670995670995,0.4008439571647119,0.3745686892130858,0.4069935179458989,0.41798941798941797,0.39133865123807643,0.47,0.6351351351351351,0.5402298850574713,74.0,0.36363636363636365,0.1509433962264151,0.21333333333333335,53.0,0.39285714285714285,0.2972972972972973,0.3384615384615385,37.0,0.3333333333333333,0.52,0.40625,25.0,0.7414381890113537,0.7058686300308876,0.6253819036427732,0.6578801331853495,0.8456614509246088,0.836829268292683,0.6253819036427732,0.6578801331853495,0.8456614509246088,0.836829268292683,0.7058686300308876
ConvNeXt-Small_with_ImagingType,32.804232804232804,1.3878982445550343,0.10333333333333333,0.20945945945945946,0.13839285714285715,0.1618342151675485,0.328042328042328,0.21674225245653816,0.41333333333333333,0.8378378378378378,0.5535714285714286,74.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,25.0,0.6941535286842062,0.5914168136390359,0.7886603995299647,0.43084073251942284,0.8916251778093883,0.6654878048780487,0.7886603995299647,0.43084073251942284,0.8916251778093883,0.6654878048780487,0.5914168136390359
