Model,Overall_Accuracy,Overall_Loss,Macro_Avg_Precision,Macro_Avg_Recall,Macro_Avg_F1,Weighted_Avg_Precision,Weighted_Avg_Recall,Weighted_Avg_F1,HGC_Precision,HGC_Recall,HGC_F1,HGC_Support,LGC_Precision,LGC_Recall,LGC_F1,LGC_Support,NST_Precision,NST_Recall,NST_F1,NST_Support,NTL_Precision,NTL_Recall,NTL_F1,NTL_Support,Macro_AUC,Micro_AUC,HGC_AUC,LGC_AUC,NST_AUC,NTL_AUC,HGC_Plot_AUC,LGC_Plot_AUC,NST_Plot_AUC,NTL_Plot_AUC,Micro_Avg_Plot_AUC
XCiT-Tiny-P16_with_ImagingType,45.5026455026455,2.2685367360947626,0.4583805046819707,0.5054258031616522,0.42412406382285905,0.5273054357938771,0.455026455026455,0.4462553086649473,0.7843137254901961,0.5405405405405406,0.64,74.0,0.42857142857142855,0.16981132075471697,0.24324324324324326,53.0,0.2826086956521739,0.35135135135135137,0.3132530120481928,37.0,0.3380281690140845,0.96,0.5,25.0,0.7863980770007246,0.7316611143771637,0.8518213866039954,0.6767480577136515,0.7475106685633002,0.8695121951219511,0.8518213866039954,0.6767480577136515,0.7475106685633002,0.8695121951219511,0.7316611143771637
XCiT-Small-P16_with_ImagingType,25.925925925925927,1.4753613929269176,0.2781055900621118,0.3591891891891892,0.2752891108656002,0.27044924249893193,0.25925925925925924,0.22513832989158053,0.34782608695652173,0.10810810810810811,0.16494845360824742,74.0,0.0,0.0,0.0,53.0,0.5217391304347826,0.6486486486486487,0.5783132530120482,37.0,0.24285714285714285,0.68,0.35789473684210527,25.0,0.7499934097415049,0.706689808982578,0.8699177438307873,0.4815482796892342,0.8675320056899004,0.7809756097560976,0.8699177438307873,0.4815482796892342,0.8675320056899004,0.7809756097560976,0.706689808982578
XCiT-Medium-P16_with_ImagingType,13.756613756613756,1.4002011560258412,0.043333333333333335,0.12264150943396226,0.06403940886699508,0.048606701940035274,0.13756613756613756,0.07183256444340189,0.0,0.0,0.0,74.0,0.17333333333333334,0.49056603773584906,0.2561576354679803,53.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,25.0,0.6752372618738596,0.4570140813527057,0.8227967097532315,0.35807436182019975,0.9538584637268849,0.5662195121951219,0.8227967097532315,0.35807436182019975,0.9538584637268849,0.5662195121951219,0.4570140813527057
