Model,Overall_Accuracy,Overall_Loss,Macro_Avg_Precision,Macro_Avg_Recall,Macro_Avg_F1,Weighted_Avg_Precision,Weighted_Avg_Recall,Weighted_Avg_F1,HGC_Precision,HGC_Recall,HGC_F1,HGC_Support,LGC_Precision,LGC_Recall,LGC_F1,LGC_Support,NST_Precision,NST_Recall,NST_F1,NST_Support,NTL_Precision,NTL_Recall,NTL_F1,NTL_Support,Macro_AUC,Micro_AUC,HGC_AUC,LGC_AUC,NST_AUC,NTL_AUC,HGC_Plot_AUC,LGC_Plot_AUC,NST_Plot_AUC,NTL_Plot_AUC,Micro_Avg_Plot_AUC
ConvNeXt-Tiny,28.04232804232804,1.4257083683417588,0.0701058201058201,0.25,0.10950413223140495,0.07863721620335377,0.2804232804232804,0.12283003192094101,0.0,0.0,0.0,74.0,0.2804232804232804,1.0,0.4380165289256198,53.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,25.0,0.5160864982975303,0.5028274684359341,0.7468860164512338,0.14095449500554938,0.6055298719772404,0.5709756097560976,0.7468860164512338,0.14095449500554938,0.6055298719772404,0.5709756097560976,0.5028274684359341
ConvNeXt-Base,28.04232804232804,1.4284440518687012,0.0701058201058201,0.25,0.10950413223140495,0.07863721620335377,0.2804232804232804,0.12283003192094101,0.0,0.0,0.0,74.0,0.2804232804232804,1.0,0.4380165289256198,53.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,25.0,0.6915067350052982,0.5935770741767215,0.6405405405405405,0.8867230854605993,0.9094950213371266,0.3292682926829268,0.6405405405405405,0.8867230854605993,0.9094950213371266,0.3292682926829268,0.5935770741767215
ConvNeXt-Small,28.04232804232804,1.3779526419109769,0.0701058201058201,0.25,0.10950413223140495,0.07863721620335377,0.2804232804232804,0.12283003192094101,0.0,0.0,0.0,74.0,0.2804232804232804,1.0,0.4380165289256198,53.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,25.0,0.4527611765891971,0.5836436083349663,0.2565804935370153,0.20061043285238625,0.7019025604551921,0.651951219512195,0.2565804935370153,0.20061043285238625,0.7019025604551921,0.651951219512195,0.5836436083349663
