Model,Overall_Accuracy,Overall_Loss,Macro_Avg_Precision,Macro_Avg_Recall,Macro_Avg_F1,Weighted_Avg_Precision,Weighted_Avg_Recall,Weighted_Avg_F1,HGC_Precision,HGC_Recall,HGC_F1,HGC_Support,LGC_Precision,LGC_Recall,LGC_F1,LGC_Support,NST_Precision,NST_Recall,NST_F1,NST_Support,NTL_Precision,NTL_Recall,NTL_F1,NTL_Support,Macro_AUC,Micro_AUC,HGC_AUC,LGC_AUC,NST_AUC,NTL_AUC,HGC_Plot_AUC,LGC_Plot_AUC,NST_Plot_AUC,NTL_Plot_AUC,Micro_Avg_Plot_AUC
MViT-V2-Tiny,37.56613756613756,2.4522404872551165,0.346938354184731,0.33733809280979093,0.3348439027370479,0.38524827789454735,0.37566137566137564,0.37509002596368185,0.4691358024691358,0.5135135135135135,0.49032258064516127,74.0,0.391304347826087,0.33962264150943394,0.36363636363636365,53.0,0.34782608695652173,0.21621621621621623,0.26666666666666666,37.0,0.1794871794871795,0.28,0.21875,25.0,0.5842734325498125,0.6014109347442681,0.5232667450058754,0.5194228634850167,0.6817211948790896,0.6126829268292683,0.5232667450058754,0.5194228634850167,0.6817211948790896,0.6126829268292683,0.6014109347442681
MViT-V2-Base,39.15343915343915,1.3668879812987393,0.09788359788359788,0.25,0.14068441064638784,0.1532991797542062,0.3915343915343915,0.22033114048323177,0.3915343915343915,1.0,0.5627376425855514,74.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,25.0,0.6273483635656472,0.6149510558681635,0.6699177438307873,0.7151775804661488,0.6282005689900426,0.49609756097560975,0.6699177438307873,0.7151775804661488,0.6282005689900426,0.49609756097560975,0.6149510558681635
MViT-V2-Small,23.280423280423282,1.4985972529365903,0.21274575890349398,0.33554054054054056,0.2366326616138032,0.18516675791139336,0.2328042328042328,0.174642833227313,0.21739130434782608,0.06756756756756757,0.10309278350515463,74.0,0.0,0.0,0.0,53.0,0.2558139534883721,0.5945945945945946,0.35772357723577236,37.0,0.37777777777777777,0.68,0.4857142857142857,25.0,0.6096172513491563,0.5693942872073383,0.6470035252643949,0.32838512763596006,0.6196657183499289,0.8434146341463415,0.6470035252643949,0.32838512763596006,0.6196657183499289,0.8434146341463415,0.5693942872073383
